district,url,depth,status,reason,candidates_found
Lyon,https://www.lyoncsd.org/about-us/follow-us,1,cached,served from local cache,0
Lyon,https://www.lyoncsd.org/resources/students,1,cached,served from local cache,0
Lyon,https://www.lyoncsd.org/resources/district-safety-for-students-families-and-staff,1,cached,served from local cache,0
Lyon,https://www.lyoncsd.org/our-schools,1,cached,served from local cache,0
Lyon,https://www.lyoncsd.org/our-schools/elementary-schools,1,cached,served from local cache,0
Lyon,https://www.lyoncsd.org/our-schools/middle-schools,1,cached,served from local cache,0
Lyon,https://www.lyoncsd.org/our-schools/high-schools,1,cached,served from local cache,0
Lyon,https://www.lyoncsd.org/our-schools/k-12-schools,1,cached,served from local cache,0
Lyon,https://www.lyoncsd.org/our-schools/distance-education,1,cached,served from local cache,0
Lyon,https://www.dhs.lyoncsd.org,1,cached,served from local cache,0
Lyon,https://www.dhs.lyoncsd.org/resources/bell-schedule,2,cached,served from local cache,0
Lyon,https://www.fhs.lyoncsd.org,1,cached,served from local cache,0
Lyon,https://www.fhs.lyoncsd.org/resources/bell-schedule,2,cached,served from local cache,0
Lyon,https://www.sshs.lyoncsd.org,1,cached,served from local cache,0
Lyon,https://www.sshs.lyoncsd.org/resources/bell-schedule,2,cached,served from local cache,0
Lyon,https://www.yhs.lyoncsd.org,1,cached,served from local cache,0
Lyon,https://www.yhs.lyoncsd.org/resources/bell-schedule,2,cached,served from local cache,0
Lyon,https://www.dhs.lyoncsd.org/about-us,2,cached,served from local cache,0
Lyon,https://www.dhs.lyoncsd.org/about-us/our-mission-vision,2,cached,served from local cache,0
Lyon,https://www.dhs.lyoncsd.org/about-us/superintendent,2,cached,served from local cache,0
Mineral,,0,skipped,"district website did not resolve, enter times by hand",0
Nye,https://www.nye.k12.nv.us/,0,cached,served from local cache,0
Nye,https://www.nye.k12.nv.us/page/about-nye-county,1,cached,served from local cache,0
Pershing,,0,skipped,"district website did not resolve, enter times by hand",0
Storey,,0,skipped,"site certificate error, enter times by hand",0
Washoe,https://www.washoeschools.net/,0,cached,served from local cache,0
Washoe,https://www.washoeschools.net/directory/student-enrollment-and-records/bell-schedule,1,cached,served from local cache,0
Washoe,https://www.washoeschools.net/directory/transportation,1,cached,served from local cache,0
Washoe,https://www.washoeschools.net/directory/child-family-services/early-childhood-programs/daily-schedule,1,cached,served from local cache,0
Washoe,https://www.washoeschools.net/directory/child-family-services/early-childhood-programs/infanttoddler-program-for-parenting-teens/daily-schedule-1214,1,cached,served from local cache,0
Washoe,https://www.washoeschools.net/directory/human-resources/hr-support/work-schedules-and-classified-calendars,1,cached,served from local cache,0
Washoe,https://www.washoeschools.net/directory/student-enrollment-and-records/document-retention-schedule,1,cached,served from local cache,0
Washoe,https://www.washoeschools.net/directory/student-enrollment-and-records/nine-week-grading-period-schedule,1,cached,served from local cache,0
Washoe,https://www.washoeschools.net/directory/student-activities-and-athletics/athletic-schedules,1,cached,served from local cache,0
Washoe,https://www.washoeschools.net/directory/transportation/swas-2526-school-year-updated-effective-81924,1,cached,served from local cache,0
Washoe,https://www.washoeschools.net/careers/careers/salary-schedules,1,cached,served from local cache,0
Washoe,https://www.washoeschools.net/fs/resource-manager/view/9cb18bd3-e2a9-4429-8486-52c67d05199f,2,error,not HTML: application/pdf,0
Washoe,https://www.washoeschools.net/fs/resource-manager/view/35f5b3cb-5395-4bfe-b6c9-90a2dbcd954a,2,error,not HTML: application/pdf,0
Washoe,https://www.washoeschools.net/fs/resource-manager/view/375d6efc-1d14-4512-81c5-64e516a5a141,2,error,not HTML: application/pdf,0
Washoe,https://www.washoeschools.net/fs/resource-manager/view/b63b7937-3b92-479b-8536-b17500f290b0,2,error,not HTML: application/pdf,0
Washoe,https://www.washoeschools.net/fs/resource-manager/view/3e4db1a7-8fe6-4ccf-95a1-d6825129c098,2,error,not HTML: application/pdf,0
Washoe,https://www.washoeschools.net/fs/resource-manager/view/49d862f5-1987-463c-b95d-e7090664df92,2,error,not HTML: application/pdf,0
Washoe,https://www.washoeschools.net/fs/resource-manager/view/3b00306e-6e3e-4834-a27f-17b070a3bffe,2,error,not HTML: application/pdf,0
Washoe,https://www.washoeschools.net/fs/resource-manager/view/38a1996c-2493-4fc1-b0ae-7c13c9dfff63,2,error,not HTML: application/pdf,0
Washoe,https://www.washoeschools.net/fs/resource-manager/view/a47b9486-581a-45ec-9ec9-dff7383505d3,2,error,not HTML: application/pdf,0
Washoe,https://www.washoeschools.net/fs/resource-manager/view/e27b87d2-eb34-4ed8-8b13-60a9afe401af,2,error,not HTML: application/pdf,0
Washoe,https://www.washoeschools.net/fs/resource-manager/view/8b5b90b6-ac81-4a02-99a3-06cf3d7e24b9,2,error,not HTML: application/pdf,0
Washoe,https://www.washoeschools.net/fs/resource-manager/view/4d238382-ef2f-4126-9ffd-e063c5e5f147,2,error,not HTML: application/pdf,0
Washoe,https://www.washoeschools.net/fs/resource-manager/view/b3060984-143a-44b7-9740-20b7433e70ac,2,error,not HTML: application/pdf,0
Washoe,https://www.washoeschools.net/fs/resource-manager/view/47fc6106-4203-427a-a6d0-11cd3132d19a,2,error,not HTML: application/pdf,0
Washoe,https://www.washoeschools.net/fs/resource-manager/view/4854fad6-097c-4a4a-aac5-7f278d71dcfa,2,error,not HTML: application/pdf,0
Washoe,https://www.washoeschools.net/about-us-47/who-we-are,1,cached,served from local cache,0
Washoe,https://www.washoeschools.net/about-us-47/applause,1,cached,served from local cache,0
Washoe,https://www.washoeschools.net/about-us-47/contact-us,1,cached,served from local cache,0
Washoe,https://www.washoeschools.net/about-us-47/strategic-plan,1,cached,served from local cache,0
White Pine,https://www.whitepine.k12.nv.us/,0,cached,served from local cache,0
White Pine,https://www.whitepine.k12.nv.us/about,1,cached,served from local cache,0
White Pine,https://steptoe.whitepine.k12.nv.us,1,cached,served from local cache,0
White Pine,https://whitepinehigh.whitepine.k12.nv.us,1,cached,served from local cache,0
White Pine,https://www.whitepine.k12.nv.us/sys/content/newspost/4715f22646d043d88a7537ba64a1a013,1,disallowed,disallowed by robots.txt,0
White Pine,https://www.whitepine.k12.nv.us/sys/content/newspost/dcc53c0b4cab4ab19568b5fe9156c228,1,disallowed,disallowed by robots.txt,0
White Pine,https://steptoe.whitepine.k12.nv.us/about,2,cached,served from local cache,0
White Pine,https://steptoe.whitepine.k12.nv.us/students,2,cached,served from local cache,0
White Pine,https://steptoe.whitepine.k12.nv.us/waitlst,2,cached,served from local cache,0
White Pine,https://steptoe.whitepine.k12.nv.us/sys/content/newspost/4715f22646d043d88a7537ba64a1a013,2,disallowed,disallowed by robots.txt,0
White Pine,https://whitepinehigh.whitepine.k12.nv.us/sys/content/newspost/2167177ecadf41ccb9175615bf819d89,2,disallowed,disallowed by robots.txt,0
White Pine,https://whitepinehigh.whitepine.k12.nv.us/sys/content/newspost/4715f22646d043d88a7537ba64a1a013,2,disallowed,disallowed by robots.txt,0
White Pine,https://whitepinehigh.whitepine.k12.nv.us/Students,2,cached,served from local cache,0
State Public Charter Schools,https://charterschools.nv.gov/,0,cached,served from local cache,0
State Public Charter Schools,https://charterschools.nv.gov/About/About_the_Authority/,1,cached,served from local cache,0
State Public Charter Schools,https://CharterSchools.nv.gov/About/Overview/,1,cached,served from local cache,0
State Public Charter Schools,https://CharterSchools.nv.gov/About/Strategic_Plan/,1,cached,served from local cache,0
State Public Charter Schools,https://CharterSchools.nv.gov/About/Apply_to_Serve_on_the_Authority_Board/,1,cached,served from local cache,0
State Public Charter Schools,https://CharterSchools.nv.gov/About/Authority_Members/,1,cached,served from local cache,0
State Public Charter Schools,https://CharterSchools.nv.gov/About/Contact_Us/,1,cached,served from local cache,0
State Public Charter Schools,https://CharterSchools.nv.gov/About/Listserv/,1,cached,served from local cache,0
State Public Charter Schools,https://CharterSchools.nv.gov/About/StaffDirectory/,1,cached,served from local cache,0
State Public Charter Schools,https://CharterSchools.nv.gov/About/Community_Engagement_and_Access_Liaison/,1,cached,served from local cache,0
State Public Charter Schools,http://charterschools.nv.gov/OpenASchool/Application_Packet/,1,cached,served from local cache,0
