school_id,school_name,borough,district,start_minutes,start_time_raw,building_code,grad_rate,advanced_regents_pct,dropout_pct,attendance_rate,college_career_rate,cohort_size,poverty_pct,el_pct,swd_pct,enrollment,admissions_method,applicants_per_seat,outcome_censored,enrollment_1000,start_hours,start_group,poverty_band
11X249,Bronx Health Sciences High School,Bronx,New York City,435.0,7:15am,X455,100.0,19.1,0.0,93.0,87.0,47.0,69.19999999999999,4.7,12.9,295.0,Educational option,14.0,False,0.295,7.25,Early,Lower middle
21K468,Kingsborough Early College School,Brooklyn,New York City,510.0,8:30am,K400,94.1,24.7,0.0,91.0,89.0,85.0,65.2,1.3,19.3,669.0,Screened,16.0,False,0.669,8.5,Late,Lower middle
02M135,The Urban Assembly School for Emergency Management,Manhattan,New York City,530.0,8:50am,M520,87.1,6.5,8.1,83.0,,62.0,80.5,3.4000000000000004,21.1,265.0,Educational option,2.0,False,0.265,8.833333333333334,Late,Upper middle
32K403,Academy for Environmental Leadership,Brooklyn,New York City,495.0,8:15am,K480,71.6,3.0,11.9,80.0,44.0,67.0,88.4,43.7,19.3,238.0,Educational option,2.0,False,0.238,8.25,Late,Highest poverty
02M420,High School for Health Professions and Human Services,Manhattan,New York City,540.0,9am,M475,91.8,40.9,4.2,92.0,72.0,425.0,74.2,4.2,13.3,1825.0,Screened,12.0,False,1.825,9.0,Late,Upper middle
16K765,Nelson Mandela High School,Brooklyn,New York City,540.0,9am,K455,77.3,0.0,7.6,78.0,,66.0,84.39999999999999,0.8,30.2,252.0,Unscreened,2.0,False,0.252,9.0,Late,Upper middle
25Q670,Robert F. Kennedy Community High School,Queens,New York City,480.0,8am,Q707,85.9,28.6,3.2,90.0,67.0,185.0,69.6,8.0,17.8,702.0,Educational option,3.0,False,0.702,8.0,Early,Lower middle
19K507,Performing Arts and Technology High School,Brooklyn,New York City,485.0,8:05am,K435,91.3,0.0,5.4,86.0,41.0,92.0,85.5,18.1,22.7,409.0,Unscreened,10.0,False,0.409,8.083333333333334,Early,Highest poverty
09X505,"Bronx School for Law, Government and Justice",Bronx,New York City,465.0,7:45am,X460,77.3,14.1,5.5,91.0,71.0,128.0,85.6,10.8,21.7,751.0,Educational option,42.0,False,0.751,7.75,Early,Highest poverty
31R600,Ralph R. McKee Career and Technical Education High School,Staten Island,New York City,465.0,7:45am,R600,73.4,25.2,5.6,87.0,30.0,143.0,70.1,6.5,32.6,795.0,Educational option,5.0,False,0.795,7.75,Early,Upper middle
09X365,Academy for Language and Technology,Bronx,New York City,480.0,8am,X082,98.6,2.7,0.0,89.0,74.0,73.0,99.1,73.1,6.5,324.0,Screened,21.0,False,0.324,8.0,Early,Highest poverty
13K265,Dr. Susan S. McKinney Secondary School of the Arts,Brooklyn,New York City,480.0,8am,K265,63.6,1.8,1.8,76.0,45.0,55.0,87.4,3.8,28.1,313.0,Audition,6.0,False,0.313,8.0,Early,Highest poverty
01M448,University Neighborhood High School,Manhattan,New York City,495.0,8:15am,M446,92.9,18.2,4.0,93.0,70.0,99.0,82.0,14.7,16.8,483.0,Educational option,3.0,False,0.483,8.25,Late,Upper middle
18K633,High School for Medical Professions,Brooklyn,New York City,490.0,8:10am,K500,81.4,0.0,2.7,91.0,69.0,113.0,70.6,4.6,15.2,460.0,Educational option,9.0,False,0.46,8.166666666666666,Early,Upper middle
19K615,Transit Tech Career and Technical Education High School,Brooklyn,New York City,490.0,8:10am,K615,67.6,1.2,7.6,84.0,45.0,170.0,78.5,6.2,25.1,676.0,Educational option,7.0,False,0.676,8.166666666666666,Early,Upper middle
20K445,New Utrecht High School,Brooklyn,New York City,550.0,9:10am,K445,73.9,30.0,9.3,87.0,59.0,873.0,77.60000000000001,19.8,16.400000000000002,3427.0,Educational option,11.0,False,3.427,9.166666666666666,Late,Upper middle
07X427,Community School for Social Justice,Bronx,New York City,495.0,8:15am,X884,69.4,0.0,23.6,79.0,53.0,72.0,92.1,20.5,26.0,327.0,Educational option,7.0,False,0.327,8.25,Late,Highest poverty
24Q236,International High School for Health Sciences,Queens,New York City,510.0,8:30am,Q455,66.7,0.0,14.7,88.0,,75.0,96.1,74.7,3.3000000000000003,273.0,Screened,5.0,False,0.273,8.5,Late,Highest poverty
